1000 3000 
54 915 828 
303 632 786 
231 12 1568 
351 308 3340 
930 217 6480 
704 700 91 
441 927 1033 
330 683 5765 
616 962 9274 
276 39 4924 
541 444 7838 
369 747 1470 
506 329 9481 
425 679 1140 
764 960 6708 
243 664 3760 
333 456 7686 
717 137 7721 
833 752 5682 
107 380 9720 
382 920 7164 
220 640 1262 
41 145 1942 
873 570 4973 
365 685 6932 
424 928 3595 
183 612 3402 
869 681 6539 
941 513 1290 
622 971 3669 
694 353 2941 
209 572 3580 
822 964 2725 
763 188 4646 
87 552 6330 
19 976 609 
965 158 7573 
367 378 8253 
905 318 4765 
546 292 2736 
215 337 3440 
155 545 8363 
86 718 5326 
162 832 6513 
807 919 9417 
489 937 4392 
449 253 7901 
21 619 7631 
273 523 4948 
390 69 4591 
477 635 9927 
268 141 823 
630 226 4892 
955 388 7724 
819 546 642 
235 386 6930 
978 835 182 
879 207 3801 
509 480 675 
808 221 2095 
751 49 8081 
29 316 1573 
852 945 9799 
95 251 4538 
818 421 435 
811 656 3821 
740 985 8007 
274 215 4213 
426 75 7044 
100 883 1264 
547 985 8664 
627 13 6331 
552 216 2627 
702 311 2877 
239 128 6298 
25 291 2305 
197 382 5289 
203 655 5856 
416 80 8930 
459 532 2164 
75 78 148 
738 56 9161 
69 607 6376 
47 660 6686 
924 250 4166 
573 275 5808 
229 471 2189 
869 674 9844 
724 89 8923 
654 547 6454 
817 973 883 
965 711 291 
125 131 6249 
852 177 4909 
890 452 7158 
407 376 3432 
214 604 255 
402 825 2928 
245 548 8368 
520 201 7266 
325 370 7239 
208 334 3301 
850 810 1783 
98 13 5311 
358 902 3115 
516 308 1490 
299 521 5446 
905 275 270 
184 519 8169 
551 390 1722 
169 715 3091 
759 274 8776 
59 123 7937 
193 572 3301 
503 930 5203 
617 797 6862 
459 447 7735 
256 352 9 
877 535 9879 
45 438 6269 
118 606 1983 
560 716 4256 
687 126 9730 
623 318 8301 
924 820 7582 
478 789 8378 
691 599 6825 
425 854 9528 
785 730 3062 
664 126 4851 
284 596 5808 
266 155 9523 
873 842 5648 
602 816 5965 
902 91 2137 
484 920 7277 
213 611 2875 
37 35 7080 
916 820 161 
638 180 3118 
233 988 3735 
740 510 8607 
581 510 3208 
748 826 2461 
839 314 9296 
758 590 4509 
368 816 2897 
755 247 813 
926 759 8142 
760 397 321 
229 981 8308 
963 720 2170 
569 652 1679 
128 400 9856 
588 238 170 
884 347 7759 
392 715 927 
640 469 1173 
452 746 4284 
593 505 7680 
914 733 5660 
573 695 732 
742 615 2383 
772 742 6782 
628 681 1019 
797 564 7366 
907 307 7432 
833 947 6252 
358 398 4997 
641 343 853 
672 256 585 
683 180 631 
414 922 9597 
797 45 4338 
578 672 18 
949 820 5934 
666 727 6592 
449 911 8538 
700 620 5288 
48 612 8630 
900 635 5237 
836 318 3416 
818 731 1689 
414 879 8086 
103 457 6109 
472 757 5929 
757 774 8007 
349 222 3269 
886 273 9241 
525 320 3852 
506 571 7487 
742 758 2156 
510 575 5886 
550 340 3765 
635 794 2573 
96 265 9681 
24 22 2454 
382 722 4675 
650 959 8947 
242 484 6618 
94 989 2188 
932 83 8945 
87 944 3871 
324 493 210 
440 480 1355 
12 927 4619 
44 950 4992 
497 683 9065 
523 684 9024 
821 926 6507 
438 371 2847 
977 302 6929 
273 740 1224 
143 63 1069 
704 503 4548 
58 866 474 
29 910 4775 
372 758 1809 
437 281 8492 
812 101 417 
318 891 4139 
516 219 4440 
797 492 6179 
20 986 1594 
88 42 4448 
987 451 7313 
812 831 2574 
586 203 6332 
746 991 9612 
238 802 4064 
6 471 6306 
145 338 8525 
936 134 2368 
467 506 1705 
60 593 6746 
507 580 5197 
171 743 4379 
745 681 6581 
76 426 9923 
39 15 7076 
454 21 898 
760 517 4236 
636 452 369 
3 918 6874 
707 329 4819 
453 187 8750 
1 358 5492 
379 102 6172 
312 177 2598 
586 567 5964 
662 20 3984 
559 779 3500 
794 414 5304 
515 768 5573 
740 475 5902 
558 279 7088 
659 631 2797 
151 361 2898 
674 24 6426 
623 610 2992 
587 623 9364 
570 181 5494 
422 327 6260 
77 193 4027 
1 932 6853 
902 842 1483 
342 500 3113 
490 650 8826 
388 676 8849 
813 298 5810 
157 884 432 
520 806 9965 
365 579 8643 
624 7 6835 
651 7 7766 
855 261 2607 
338 954 6459 
802 443 8460 
627 182 1135 
828 347 9785 
637 503 4020 
421 374 4177 
385 738 107 
27 714 7113 
861 364 3472 
978 218 8732 
937 907 9037 
747 709 4479 
206 335 7013 
693 514 359 
477 151 3861 
496 923 9586 
673 307 6675 
779 685 1388 
244 897 4103 
67 226 1673 
798 514 5579 
186 260 5287 
16 466 5974 
28 158 6487 
386 634 8989 
598 481 3911 
183 505 7569 
210 636 8605 
597 879 3853 
52 945 1079 
724 94 5592 
302 631 3852 
941 646 669 
266 674 826 
104 59 6811 
93 9 2643 
355 191 6148 
276 752 3783 
232 701 9013 
85 752 5309 
163 475 7754 
106 128 5384 
309 420 9029 
977 685 5702 
154 789 2113 
316 233 2121 
959 939 1663 
106 566 7415 
240 798 3467 
252 882 1218 
912 396 5044 
665 853 523 
48 162 2943 
76 490 979 
130 996 1119 
242 311 2351 
714 621 1290 
728 78 8207 
494 317 9004 
960 920 237 
529 831 6632 
572 495 2837 
447 894 6350 
741 970 7839 
719 451 7186 
838 44 8497 
540 757 3469 
181 484 5547 
388 978 4863 
391 289 3135 
628 818 2965 
611 741 4812 
447 187 7705 
796 927 7026 
987 998 8476 
172 835 519 
20 726 1627 
489 907 3463 
35 294 9792 
249 36 4080 
383 15 249 
700 626 6990 
863 424 7528 
567 572 8455 
593 910 3452 
420 433 3638 
291 453 1363 
917 293 621 
731 679 6914 
522 927 1950 
954 662 2316 
202 713 1941 
191 575 2717 
719 493 4640 
525 437 1901 
328 857 5333 
317 499 9785 
31 415 5077 
652 146 6755 
917 19 6034 
866 972 6047 
534 174 9759 
826 716 4685 
542 786 2177 
533 310 5614 
433 989 9822 
766 305 5320 
902 336 86 
979 339 7583 
85 255 7602 
470 473 6925 
516 6 9450 
626 831 2166 
310 725 5303 
839 257 965 
804 42 8953 
625 807 5610 
296 708 2297 
381 38 9635 
964 475 889 
917 944 4361 
841 812 2366 
291 789 9549 
808 99 2273 
462 289 1529 
426 92 5570 
379 68 9728 
340 363 3788 
636 95 2825 
270 58 2651 
510 326 2947 
871 519 9758 
588 809 5546 
136 968 4996 
760 429 284 
289 207 9727 
210 937 6794 
290 276 9508 
77 911 1603 
253 532 7012 
904 41 3338 
850 911 3856 
959 851 8016 
504 338 4335 
852 98 8115 
135 386 321 
214 947 6257 
7 236 1532 
867 664 4794 
469 917 9325 
480 820 2366 
817 669 4628 
24 627 4830 
